,tip_smjestaja,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
0,Hoteli,496455,64933,2226395,219611
1,Apart hoteli,9337,260,58220,903
2,Pansioni,7188,637,54933,3982
3,Moteli,341,281,522,479
4,Turistička naselja,67990,2525,444063,11713
5,Turistički apartmani,442,141,1484,456
6,Gostionice ,86,0,454,0
7, Lječilište,7702,7334,91118,107296
8,Odmarališta,15067,5453,111563,36738
9, Kampovi,5731,352,21153,747
10,Prenoćišta (hosteli),1336,510,1908,3570
11,Individualni turistički smještaj,712728,85177,5402402,612233
