tip_smjestaja,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
Hotel,559911,69732,2301634,198999
Garni hotel,32596,2427,105437,6252
Mali hotel,107271,10839,295775,29220
Boutique hotel,19697,634,48933,1082
Apart hotel,7548,503,39765,1778
Turističko naselje,62918,4137,380081,18927
Motel,438,127,1035,256
Gostionica,729,24,1047,56
Pansion,4391,250,30168,2238
Kamp,6746,266,23974,668
Etno selo,1371,148,2773,268
Eco lodge,238,49,238,49
Odmaralište,12760,13595,82170,49025
Hostel,16946,287,49070,2238
Lječilište,10049,8872,96900,120314
Individualni turistički smještaj,1033603,10907,8011132,51814
