,zemlja_porijekla,dolasci,nocenja
0,Albanija,27428,159811
1,Austrija,15865,71006
2,Belgija,5983,31745
3,Bjelorusija,20504,134914
4,Bosna i Hercegovina,95271,679317
5,Bugarska,7181,25002
6,Češka Republika,26847,174634
7,Danska,2580,11635
8,Estonija,1246,5956
9,Finska,1916,8382
10,Francuska,33122,167215
11,Grčka,3886,10753
12,Holandija,5669,33371
13,Hrvatska,24015,107786
14,Irska,3479,18397
15,Island,423,1514
16,Italija,36113,151366
17,Kosovo,31300,249731
18,Letonija,1031,4684
19,Litvanija,5390,34139
20,Luksemburg,728,2716
21,Mađarska,15857,79743
22,Makedonija,24564,158469
23,Norveška,6267,47487
24,Njemačka,32648,184984
25,Poljska,39131,196888
26,Portugalija,959,3712
27,Rumunija,23108,118313
28,Rusija,243647,1988533
29,Slovačka,9427,65716
30,Slovenija,18463,82380
31,Srbija (bez Kosova),337245,2353370
32,Švajcarska,9443,41558
33,Švedska,9108,51401
34,Španija,2501,7281
35,Turska,13197,24021
36,Ukrajina,48742,353782
37,Velika Britanija,19369,102229
38,Ostale evropske zemlje,10924,48716
39,Australija,4032,18395
40,Izrael,12393,24209
41,Japan,1748,3829
42,Kanada,2912,11079
43,Novi Zeland,612,1617
44,SAD,10224,41335
45,Ostale vanevropske zemlje,17665,49886
