zemlja_porijekla,dolasci,nocenja
Albanija,65419,221987
Austrija,24624,108435
Belgija,18722,80131
Bjelorusija,27970,216470
Bosna i Hercegovina,193587,1130799
Bugarska,11155,33489
Češka ,18562,125755
Danska,8462,45702
Estonija,4122,23381
Finska,12713,59901
Francuska,77096,388715
Grčka,7528,15782
Holandija,17733,75971
Hrvatska,33398,111809
Irska,4569,18937
Island,661,2628
Italija,37602,129921
Kipar,805,1689
Kosovo,55531,280642
Letonija,3300,19678
Litvanija,7505,39296
Luksemburg,1851,9118
Mađarska,34032,168910
Malta,881,5983
Makedonija,28738,158899
Norveška,13923,100952
Njemačka,89741,442829
Poljska,69091,347359
Portugalija,2944,8877
Rumunija,21576,93772
Rusija,338463,3123516
Slovačka,9347,52378
Slovenija,21928,83578
Srbija ,409385,3053002
Španija,8714,21371
Švajcarska (uključujući Lihtenštajn),16686,71821
Švedska,29243,173652
Turska,43755,107020
Ukrajina,61473,482958
Ujedinjeno Kraljevstvo,62460,324282
Ostale evropske zemlje,8406,31919
Južna Afrika,947,4068
Ostale afričke zemlje,2790,8781
Kanada,8632,34460
SAD,29536,95832
Ostale zemlje Sjeverne Amerike,852,2310
Argentina,963,2580
Brazil,1658,4189
Čile,442,1102
Ostale zemlje Južne i Srednje Amerike,2631,6861
Kina (uključujući Hong Kong),42715,56620
Japan,2938,5601
"Koreja, Republika",5016,6943
Izrael,34904,104066
Indija,2269,5172
Azerbejdžan,1725,9949
Ostale azijske zemlje,22637,65312
Australija,8916,28661
Novi Zeland,1704,4526
Ostale zemlje Okeanije,1827,3463
