opstina,dolasci_stranih_turista,dolasci_domacih_turista,nocenje_stranih_turista,nocenje_domacih_turista
Andrijevica,306,134,325,163
Bar,145841,11517,1163929,55914
Berane,1128,908,1548,1271
Bijelo Polje,2369,1824,4918,2751
Budva,697110,57457,4356139,313987
Cetinje,4294,9007,8884,30463
Danilovgrad,1268,91,2052,104
Herceg Novi,177982,36677,1336455,299419
Kolašin,15025,4103,31838,7501
Kotor,56286,2226,275447,11865
Mojkovac,1210,311,1435,406
Nikšić,4842,639,9363,1161
Plav,1372,537,1966,927
Pljevlja,2094,1854,5136,7818
Plužine,2837,67,3423,82
Podgorica,64589,6103,112731,15384
Rožaje,744,567,1770,1239
Tivat,40030,5547,420414,18612
Ulcinj,116845,22257,832836,173000
Žabljak,14125,5253,26047,15060
